descriptor,sample,wall_sec,peak_mb,vec_dim
Ord_PI,0,0.3379,0.436,10200
Ord_PI,1,0.1240,0.399,10200
Ord_PI,2,0.4503,0.416,10200
Ord_PI,3,0.1807,0.405,10200
Ord_PI,4,0.2259,0.409,10200
Inter_PI,0,83.2031,2247.888,10200
Inter_PI,1,19.9049,626.237,10200
Inter_PI,2,149.1435,4069.485,10200
Inter_PI,3,34.1807,1014.011,10200
Inter_PI,4,48.2237,1371.643,10200
3D_PI,0,82.4061,2247.885,16800
3D_PI,1,20.3623,626.237,16800
3D_PI,2,153.7932,4069.485,16800
3D_PI,3,33.7661,1014.011,16800
3D_PI,4,48.2109,1371.643,16800
Sixpack_Rips,0,374.0702,10355.596,61200
Sixpack_Rips,1,67.1667,2552.820,61200
Sixpack_Rips,2,974.0787,25905.439,61200
Sixpack_Rips,3,120.9756,4181.333,61200
Sixpack_Rips,4,166.3544,6555.155,61200
Sixpack_Chroma,0,4.5267,10.874,61200
Sixpack_Chroma,1,4.7698,12.083,61200
Sixpack_Chroma,2,4.7908,11.887,61200
Sixpack_Chroma,3,4.6848,11.084,61200
Sixpack_Chroma,4,4.1004,10.305,61200
