label,LIN_hard_soft,LIN_hard_strict,LIN_soft_soft,LIN_soft_strict,RBF_soft,RBF_strict,RF200_soft,RF200_strict
Ord_PI   [baseline],76.9674,45.9242,98.6370,70.9023,96.4896,65.6501,97.6604,76.1774
Inter_PI [baseline],81.2583,46.2935,97.6585,69.7297,94.3366,63.0840,97.4586,74.6164
3D_PI    [baseline],80.4759,47.2739,99.6117,74.2109,91.3992,52.9317,98.0506,75.3969
E1  [Ord+Inter] PCA100,78.3172,46.0879,99.0253,71.0908,96.2955,68.5608,97.6566,75.9832
E2  [Ord+3D]    PCA100,80.8662,49.8058,99.2214,72.8460,97.6604,65.8329,97.6528,76.1660
E3  [Ord+Inter] PCA200,81.4506,45.6958,99.2214,72.6632,96.2955,68.3647,96.8761,73.6341
E4  [Ord+3D]    PCA200,80.4740,48.0525,99.2233,73.0516,97.6604,66.6153,97.6547,74.8011
I1  [Ord+Inter] PCA50+50 →100D,83.0249,52.1607,96.2916,68.9435,94.9229,65.0466,96.8761,75.0105
I2  [Ord+3D]    PCA50+50 →100D,82.6137,52.3377,96.8780,70.5045,94.1367,60.5521,97.2625,75.9756
I3  [Ord+Inter] PCA100+100 →200D,83.9863,49.8039,96.4896,67.3863,94.9248,66.4116,96.6819,73.2515
I4  [Ord+3D]    PCA100+100 →200D,84.3746,51.7647,98.0468,68.5608,95.5054,64.0796,96.8780,74.6164
L1  [Ord+Inter] RF       soft-vote,,,,,,,96.4877,72.4653
L2  [Ord+3D]    RF       soft-vote,,,,,,,97.0721,75.9794
L3  [Ord+Inter] RBF      soft-vote,,,,,,,95.8995,69.9200
L4  [Ord+3D]    RBF      soft-vote,,,,,,,96.6876,73.0459
L5  [Ord+Inter] LIN_soft soft-vote,,,,,,,96.4858,67.9688
L6  [Ord+3D]    LIN_soft soft-vote,,,,,,,97.6566,72.4538
L7  [Ord+Inter] Stacking RF→RF,,,,,,,96.4858,71.8808
L8  [Ord+3D]    Stacking RF→RF,,,,,,,97.2701,76.3773
W1  [Ord+Inter] Embed WS PCA100,80.0857,48.0449,93.5618,65.4312,93.5580,60.1656,94.9229,69.1433
W2  [Ord+3D]    Embed WS PCA100,80.8681,50.2056,94.9210,66.2022,95.9052,61.1346,95.5092,73.2401
W3  [Ord+Inter] Late WS RF,,,,,,,96.2916,72.2692
W4  [Ord+3D]    Late WS RF,,,,,,,97.8546,76.1812
W5  [Ord+Inter] Late WS RBF,,,,,,,96.0975,69.5336
W6  [Ord+3D]    Late WS RBF,,,,,,,95.1190,71.2850
W7  [Ord+Inter] Late WS LIN_soft,,,,,,,96.8799,68.7550
W8  [Ord+3D]    Late WS LIN_soft,,,,,,,97.0702,70.6948
