combo,n_barcodes,dim,LinSVM_soft,LinSVM_strict,KNN9_soft,KNN9_strict,RF200_soft,RF200_strict
image+domain+codomain+relative,4,40800,79.7068,45.9128,98.0468,71.6676,99.2233,74.2166
image+cokernel+relative,3,30600,78.5132,41.2164,98.0430,73.2286,98.8330,74.8068
image+kernel+codomain+relative,4,40800,77.7441,45.1228,97.4567,69.5203,98.8311,75.7777
cokernel+relative,2,20400,77.3520,40.8243,97.8508,69.5222,98.8292,73.4380
image+kernel+relative,3,30600,76.9655,45.5188,98.4371,73.0402,98.8292,76.1755
image+codomain+relative,3,30600,78.7112,41.5991,98.2372,70.8833,98.6332,73.0383
image+kernel+cokernel+codomain+relative,5,51000,79.3052,45.7015,98.2410,69.7125,98.6332,75.3874
image+domain+relative,3,30600,75.5797,45.7129,98.2429,73.2324,98.6313,75.5797
image+kernel+cokernel+relative,4,40800,78.9187,45.9261,98.0430,70.6853,98.6313,75.0010
cokernel+domain+codomain+relative,4,40800,77.7270,47.0645,98.2391,72.0617,98.6313,74.0206
domain+codomain+relative,3,30600,79.8801,47.2758,98.6332,71.0889,98.6294,73.4323
image+cokernel+domain+relative,4,40800,75.7891,43.3733,98.2391,74.0187,98.4409,74.4127
kernel+codomain+relative,3,30600,77.9459,46.4972,98.0430,73.6227,98.4371,76.3697
kernel+cokernel+domain+relative,4,40800,81.8466,47.0798,97.2625,70.6891,98.4352,76.1717
kernel+domain+codomain+relative,4,40800,80.2760,46.8780,98.4352,71.2755,98.4352,75.3912
kernel+relative,2,20400,77.1464,40.6396,97.0721,70.3103,98.4333,75.5892
relative,1,10200,80.2741,44.7440,98.0487,72.4462,98.2448,74.6012
codomain+relative,2,20400,79.4917,39.8572,96.8742,69.5203,98.2429,70.8909
image+kernel+domain+relative,4,40800,76.9579,43.5637,98.2410,72.4481,98.2429,74.4146
kernel+domain+relative,3,30600,76.1850,44.9534,97.2663,69.9105,98.2372,73.6265
domain+relative,2,20400,78.7131,40.0324,98.4390,73.2362,98.0468,75.5778
cokernel+domain+relative,3,30600,79.8972,47.6661,98.8235,72.8422,97.8527,74.4203
image+cokernel+domain+codomain+relative,5,51000,74.4203,43.7617,98.8254,72.0503,97.8527,73.2401
image+kernel+domain+codomain,4,40800,76.7599,47.6547,97.8450,67.1769,97.8508,75.5854
image+kernel+cokernel+domain+relative,5,51000,76.1793,46.1108,98.4333,69.5146,97.8508,75.5835
kernel+cokernel+relative,3,30600,78.1420,44.1614,97.4586,71.6752,97.8488,77.3425
image+cokernel+codomain+relative,4,40800,77.3406,43.1601,98.2391,70.3008,97.8469,72.4500
image+relative,2,20400,78.5189,42.3777,98.2429,70.9004,97.6604,76.5620
image+kernel+cokernel+domain+codomain+relative,6,61200,77.5538,47.6604,98.2391,71.4601,97.6566,74.9952
kernel+domain,2,20400,77.9383,44.1557,96.4801,66.2060,97.6566,74.0225
kernel+cokernel+codomain+relative,4,40800,77.9440,45.3303,97.6566,70.8966,97.6509,74.6069
image+kernel+domain+codomain+relative,5,51000,76.9694,46.5049,97.8488,70.0990,97.6490,73.8264
image+cokernel+domain,3,30600,76.5753,44.7459,97.6547,69.1300,97.4662,72.0693
image+kernel+cokernel,3,30600,79.7011,48.0449,96.8666,68.1515,97.4624,74.0187
image+domain+codomain,3,30600,79.3185,43.9730,97.4605,68.3400,97.4624,73.0421
kernel+cokernel+domain,3,30600,75.4083,42.9735,96.6724,68.5437,97.4586,74.4127
cokernel+domain,2,20400,79.8858,43.3695,97.6528,67.5728,97.2663,71.4849
kernel+cokernel+domain+codomain+relative,5,51000,79.8877,47.0931,98.0430,72.4462,97.2625,73.8283
image+cokernel+domain+codomain,4,40800,78.3172,42.2006,97.2644,68.5361,97.0721,73.2324
image+kernel+cokernel+domain,4,40800,80.2856,46.3031,98.2391,68.5437,97.0702,74.6069
image+kernel+cokernel+codomain,4,40800,77.9345,44.9210,97.2644,66.1984,97.0702,72.2578
domain+codomain,2,20400,80.4721,47.6661,97.0664,65.2275,97.0645,72.4557
image+kernel+cokernel+domain+codomain,5,51000,79.1053,49.6078,96.4782,68.5342,96.8780,73.0421
image+kernel,2,20400,78.1420,42.5909,95.6939,67.5690,96.8742,74.9990
image+codomain,2,20400,75.5892,42.9697,96.6781,61.8980,96.6819,68.3647
cokernel+domain+codomain,3,30600,80.6720,45.3189,97.2606,65.2275,96.6800,70.6948
kernel+domain+codomain,3,30600,78.1249,46.8666,97.2625,67.5785,96.6781,72.2692
image+kernel+codomain,3,30600,80.4816,46.0937,97.6509,63.6684,96.6781,73.4304
image+kernel+domain,3,30600,76.3830,44.1519,96.6724,69.9143,96.4858,74.0244
cokernel+codomain+relative,3,30600,76.7638,40.0438,97.6547,67.9593,96.4839,72.6575
image+domain,2,20400,79.6916,43.1620,95.8919,68.5399,96.2916,74.2223
kernel+cokernel+domain+codomain,4,40800,77.9288,44.5193,96.6743,68.3590,96.2878,73.0421
kernel+codomain,2,20400,76.9579,45.3132,95.5035,66.6000,96.0918,71.2945
kernel+cokernel+codomain,3,30600,78.9111,45.1209,96.2859,64.2528,96.0879,71.8694
image+cokernel,2,20400,75.3950,40.0419,96.0918,63.0687,95.9014,69.1319
image+cokernel+codomain,3,30600,77.5366,39.6554,96.6781,61.7057,95.7015,67.5766
image,1,10200,78.3191,41.4163,91.2107,59.5603,95.5130,69.7297
kernel+cokernel,2,20400,78.1382,44.3518,95.7015,66.5981,95.5092,71.4906
kernel,1,10200,75.1837,42.5700,91.7971,57.8241,95.3113,69.1453
domain,1,10200,77.5481,42.5833,95.1133,62.4938,95.1190,70.3122
cokernel+codomain,2,20400,79.3090,38.4790,92.5738,56.4401,94.3385,67.3863
cokernel,1,10200,77.9459,38.8768,92.5738,58.1915,93.9463,65.2332
codomain,1,10200,71.8903,29.6859,90.8186,54.4927,91.0242,62.3053
