combo,n_barcodes,dim,LinSVM_soft,LinSVM_strict,KNN9_soft,KNN9_strict,RF200_soft,RF200_strict
relative,1,10200,82.6214,38.2905,98.0487,68.1591,99.4156,76.5563
kernel+relative,2,20400,80.0857,44.1576,98.2410,70.1294,99.0272,79.1034
kernel+domain+relative,3,30600,80.2798,46.6990,98.6332,73.0535,99.0253,79.2994
image+kernel+codomain+relative,4,40800,79.6973,45.1456,99.2195,73.8321,99.0234,78.1287
kernel+cokernel+domain+codomain+relative,5,51000,80.2951,49.6288,98.4371,74.0187,99.0234,78.5189
kernel+cokernel+relative,3,30600,82.2330,46.4972,98.4409,72.6670,98.8330,77.1426
domain+codomain+relative,3,30600,83.2039,50.2227,99.6117,72.0731,98.8330,75.1989
cokernel+relative,2,20400,80.0876,42.9773,98.8292,67.1902,98.8311,75.3931
codomain+relative,2,20400,81.0584,41.9989,98.6351,69.1357,98.8311,75.2027
image+kernel+relative,3,30600,79.6916,47.6661,98.2429,72.6594,98.8311,78.9130
image+cokernel+domain+relative,4,40800,79.2937,48.8388,99.2214,74.2262,98.8292,76.7599
image+kernel+cokernel+codomain+relative,5,51000,80.0857,47.6642,99.0253,72.4729,98.8292,78.7112
image+cokernel+relative,3,30600,77.1540,44.5479,98.0449,68.5532,98.6351,75.0029
cokernel+domain+codomain+relative,4,40800,79.8915,47.4776,99.2233,71.0946,98.6351,74.6088
domain+relative,2,20400,82.0331,47.2777,99.2176,70.8966,98.6332,78.9092
image+domain+codomain,3,30600,77.9459,49.6250,98.4390,71.0908,98.4428,76.3716
kernel+cokernel+codomain+relative,4,40800,82.2330,50.0057,98.2467,72.0750,98.4428,77.9326
image+relative,2,20400,79.5050,43.1734,97.0702,69.3394,98.4409,76.1736
image+kernel+codomain,3,30600,81.8428,47.2835,97.8488,71.6733,98.4409,76.3678
image+codomain+relative,3,30600,80.2703,45.3284,97.4643,69.5336,98.4409,76.3811
image+cokernel+domain+codomain+relative,5,51000,77.9440,47.6661,99.0272,73.6360,98.4409,76.7542
cokernel+domain+relative,3,30600,77.3406,44.7306,99.4156,72.8574,98.4390,76.3697
kernel+cokernel+domain+relative,4,40800,80.4740,48.6503,98.4409,74.4146,98.4390,77.9383
image+kernel+domain+relative,4,40800,79.7030,48.2658,98.6313,72.6613,98.4371,78.3191
kernel+domain+codomain+relative,4,40800,80.4740,47.4852,99.2195,75.1932,98.4371,77.9307
kernel+cokernel,2,20400,76.3811,45.7148,98.4409,71.2964,98.2448,77.1464
kernel+cokernel+domain,3,30600,79.3071,45.1323,98.0468,73.6341,98.2448,77.7308
image+domain+codomain+relative,4,40800,79.6935,49.2309,99.4156,74.0339,98.2448,78.1230
image+kernel+domain+codomain,4,40800,82.2311,50.0114,98.4371,72.4595,98.0544,77.1616
image+cokernel+codomain+relative,4,40800,78.7207,46.3050,97.2682,66.0270,98.0506,74.8030
image+domain+relative,3,30600,80.8509,48.8426,99.6097,74.0282,98.0468,77.9269
image+kernel+cokernel+domain,4,40800,79.1072,49.6231,98.6332,74.2204,98.0468,77.9307
image+kernel+cokernel+relative,4,40800,80.0800,45.3284,98.8311,72.6632,98.0468,77.7403
kernel+codomain+relative,3,30600,81.4525,47.2854,98.2467,71.4887,97.8565,77.5443
cokernel+codomain+relative,3,30600,80.4683,44.1405,97.6547,68.1496,97.8546,73.6341
image+kernel+cokernel+codomain,4,40800,79.4898,50.0114,97.8508,70.5083,97.8527,75.9852
image+kernel+domain+codomain+relative,5,51000,81.6429,48.4561,99.2195,73.6360,97.8527,77.1559
cokernel+domain+codomain,3,30600,79.7011,43.9673,98.0468,69.5279,97.6642,72.0712
image+cokernel+domain,3,30600,79.2975,47.4719,98.6351,72.2673,97.6604,77.7422
kernel+domain+codomain,3,30600,79.4974,48.2429,98.2448,72.4557,97.6604,75.2046
image+cokernel+domain+codomain,4,40800,79.5012,48.8426,98.0487,68.7531,97.6604,75.3969
image+kernel+cokernel+domain+codomain,5,51000,78.7188,46.6933,97.8527,72.6575,97.6604,77.5481
kernel,1,10200,80.6682,46.2935,96.2878,68.1725,97.6528,71.2850
image+kernel+cokernel,3,30600,77.7365,45.9223,98.0468,71.2850,97.4681,77.3539
image+kernel+cokernel+domain+codomain+relative,6,61200,81.0623,47.8698,99.0253,75.0048,97.4662,77.5462
kernel+domain,2,20400,78.3324,43.5599,98.2429,72.8536,97.4643,76.5639
image+codomain,2,20400,78.7226,43.3676,96.0975,62.0998,97.2720,69.7316
image+kernel+domain,3,30600,80.0857,52.1512,98.0487,74.6107,97.2720,77.3482
image+kernel+cokernel+domain+relative,5,51000,79.6973,45.7224,99.2195,73.8378,97.2720,76.9541
image+domain,2,20400,78.3305,48.0621,97.2625,71.8770,97.0779,77.3463
kernel+cokernel+codomain,3,30600,79.6992,48.0659,98.6313,69.1433,97.0779,72.6556
cokernel+domain,2,20400,77.5557,42.1873,98.0468,70.5064,97.0760,73.8340
domain,1,10200,77.5500,42.1930,97.4605,71.1022,97.0741,75.1970
image+kernel,2,20400,77.3387,47.0683,98.2448,71.2907,97.0721,76.1774
domain+codomain,2,20400,76.9713,44.3480,97.8527,71.4811,97.0702,73.8245
kernel+cokernel+domain+codomain,4,40800,79.5146,47.8622,98.4409,72.0731,96.8818,75.1970
image+cokernel,2,20400,78.7226,43.7617,95.5092,63.6665,96.4915,72.4672
image+cokernel+codomain,3,30600,78.1268,43.1734,96.8761,62.6899,96.4877,71.4868
kernel+codomain,2,20400,80.6701,49.8268,97.6547,68.9473,96.4858,73.2458
image,1,10200,79.5069,41.8237,91.6029,57.6109,96.0975,70.7025
cokernel,1,10200,80.8700,42.7851,93.3600,55.4769,95.5168,67.1940
cokernel+codomain,2,20400,76.1831,38.4942,94.5326,56.0518,94.3423,64.0586
codomain,1,10200,73.6303,33.0040,91.4106,51.1631,92.3834,61.7133
